Type	Predicate	Enabled
struct clang::ConstStmtIterator	clang::Stmt::child_begin	0
struct clang::ConstStmtIterator	clang::Stmt::child_end	0
const class clang::Expr *	clang::CXXRewrittenBinaryOperator::getSemanticForm	1
struct clang::CXXRewrittenBinaryOperator::DecomposedForm	clang::CXXRewrittenBinaryOperator::getDecomposedForm	0
_Bool	clang::CXXRewrittenBinaryOperator::isReversed	1
enum clang::BinaryOperatorKind	clang::CXXRewrittenBinaryOperator::getOperator	1
enum clang::BinaryOperatorKind	clang::CXXRewrittenBinaryOperator::getOpcode	1
class llvm::StringRef	clang::CXXRewrittenBinaryOperator::getOpcodeStr	1
_Bool	clang::CXXRewrittenBinaryOperator::isComparisonOp	1
_Bool	clang::CXXRewrittenBinaryOperator::isAssignmentOp	1
const class clang::Expr *	clang::CXXRewrittenBinaryOperator::getLHS	1
const class clang::Expr *	clang::CXXRewrittenBinaryOperator::getRHS	1
class clang::SourceLocation	clang::CXXRewrittenBinaryOperator::getOperatorLoc	1
class clang::SourceLocation	clang::CXXRewrittenBinaryOperator::getExprLoc	1
class clang::SourceLocation	clang::CXXRewrittenBinaryOperator::getBeginLoc	1
class clang::SourceLocation	clang::CXXRewrittenBinaryOperator::getEndLoc	1
class clang::SourceRange	clang::CXXRewrittenBinaryOperator::getSourceRange	1
class clang::SourceLocation	clang::IntegerLiteral::getBeginLoc	1
class clang::SourceLocation	clang::IntegerLiteral::getEndLoc	1
class clang::SourceLocation	clang::IntegerLiteral::getLocation	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::IntegerLiteral::children	1
class clang::SourceLocation	clang::CXXFunctionalCastExpr::getLParenLoc	1
class clang::SourceLocation	clang::CXXFunctionalCastExpr::getRParenLoc	1
_Bool	clang::CXXFunctionalCastExpr::isListInitialization	1
class clang::SourceLocation	clang::CXXFunctionalCastExpr::getBeginLoc	1
class clang::SourceLocation	clang::CXXFunctionalCastExpr::getEndLoc	1
_Bool	clang::CXXTypeidExpr::isPotentiallyEvaluated	1
_Bool	clang::CXXTypeidExpr::isTypeOperand	1
class clang::TypeSourceInfo *	clang::CXXTypeidExpr::getTypeOperandSourceInfo	1
class clang::Expr *	clang::CXXTypeidExpr::getExprOperand	1
class clang::SourceLocation	clang::CXXTypeidExpr::getBeginLoc	1
class clang::SourceLocation	clang::CXXTypeidExpr::getEndLoc	1
class clang::SourceRange	clang::CXXTypeidExpr::getSourceRange	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CXXTypeidExpr::children	1
enum clang::OverloadedOperatorKind	clang::CXXOperatorCallExpr::getOperator	1
_Bool	clang::CXXOperatorCallExpr::isAssignmentOp	1
_Bool	clang::CXXOperatorCallExpr::isComparisonOp	1
_Bool	clang::CXXOperatorCallExpr::isInfixBinaryOp	1
class clang::SourceLocation	clang::CXXOperatorCallExpr::getOperatorLoc	1
class clang::SourceLocation	clang::CXXOperatorCallExpr::getExprLoc	1
class clang::SourceLocation	clang::CXXOperatorCallExpr::getBeginLoc	1
class clang::SourceLocation	clang::CXXOperatorCallExpr::getEndLoc	1
class clang::SourceRange	clang::CXXOperatorCallExpr::getSourceRange	1
const class clang::Expr *	clang::ReturnStmt::getRetValue	1
const class clang::VarDecl *	clang::ReturnStmt::getNRVOCandidate	1
class clang::SourceLocation	clang::ReturnStmt::getReturnLoc	1
class clang::SourceLocation	clang::ReturnStmt::getBeginLoc	1
class clang::SourceLocation	clang::ReturnStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::ReturnStmt::children	1
class clang::SourceLocation	clang::ContinueStmt::getContinueLoc	1
class clang::SourceLocation	clang::ContinueStmt::getBeginLoc	1
class clang::SourceLocation	clang::ContinueStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::ContinueStmt::children	1
enum clang::TypeTrait	clang::TypeTraitExpr::getTrait	1
_Bool	clang::TypeTraitExpr::getValue	1
unsigned int	clang::TypeTraitExpr::getNumArgs	1
class llvm::ArrayRef<class clang::TypeSourceInfo *>	clang::TypeTraitExpr::getArgs	1
class clang::SourceLocation	clang::TypeTraitExpr::getBeginLoc	1
class clang::SourceLocation	clang::TypeTraitExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::TypeTraitExpr::children	1
const class clang::BlockDecl *	clang::BlockExpr::getBlockDecl	1
class clang::SourceLocation	clang::BlockExpr::getCaretLocation	1
const class clang::Stmt *	clang::BlockExpr::getBody	1
class clang::SourceLocation	clang::BlockExpr::getBeginLoc	1
class clang::SourceLocation	clang::BlockExpr::getEndLoc	1
const class clang::FunctionProtoType *	clang::BlockExpr::getFunctionType	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::BlockExpr::children	1
const class clang::Expr *	clang::ExtVectorElementExpr::getBase	1
class clang::IdentifierInfo &	clang::ExtVectorElementExpr::getAccessor	1
class clang::SourceLocation	clang::ExtVectorElementExpr::getAccessorLoc	1
unsigned int	clang::ExtVectorElementExpr::getNumElements	1
_Bool	clang::ExtVectorElementExpr::containsDuplicateElements	1
class clang::SourceLocation	clang::ExtVectorElementExpr::getBeginLoc	1
class clang::SourceLocation	clang::ExtVectorElementExpr::getEndLoc	1
_Bool	clang::ExtVectorElementExpr::isArrow	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::ExtVectorElementExpr::children	1
_Bool	clang::UnresolvedLookupExpr::requiresADL	1
_Bool	clang::UnresolvedLookupExpr::isOverloaded	1
